三包流水号,总部制造发运时间,总部审核处置时间,分公司审核提交时间,补充调查时间,分公司现场调查时间,发运时间,全周期统计时间,提出部门,客户名称
MBY25-3912,5.31,0.75,0,0,,2025/12/4 16:00,6.06,泉州分公司,泉州市荣誉实业投资有限公司
MAZ25-4094,4,0.04,0,0,,2025/12/12 16:00,4.04,浙江分公司,浙江嘉菱电梯有限公司
MAZ25-4139,1.01,0.05,0,0,,2025/12/12 16:00,1.06,浙江分公司,浙江省建工集团有限责任公司
MBY25-3939,1.06,0.05,0,0,,2025/12/1 16:00,1.11,浙江分公司,微医云智（杭州）实业有限公司
MAZ25-4092,4,0.06,0,0,,2025/12/12 16:00,4.06,浙江分公司,杭州元奥电梯有限公司
MAZ25-4093,4,0.06,0,0,,2025/12/12 16:00,4.06,浙江分公司,浙江嘉菱电梯有限公司
MAZ25-4149,0.14,0.07,0,0,0.62,2025/12/12 16:00,0.83,浙江分公司,浙江宝业供应链管理有限公司
MBY25-4255,2.22,0.07,0,0,,2025/12/25 16:00,2.29,浙江分公司,杭州友孚机电设备有限公司
MAZ25-4091,4,0.07,0,0,,2025/12/12 16:00,4.07,浙江分公司,杭州市上城区天运花园第六届业主委员
MAZ25-4009,4,0.08,0,0,,2025/12/9 16:00,4.08,浙江分公司,微医云智（杭州）实业有限公司
MAZ25-4103,2.19,0.09,0,0,,2025/12/11 16:00,2.28,浙江分公司,浙江宝业供应链管理有限公司
MAZ25-4081,1.04,0.17,0,0,,2025/12/9 16:00,1.21,浙江分公司,杭州海威奥城置业有限公司
MAZ25-4085,1,0.2,0,0,,2025/12/9 16:00,1.2,浙江分公司,杭州海威奥城置业有限公司
MAZ25-3952,6.08,0.2,0,0,,2025/12/9 16:00,6.28,浙江分公司,杭州众安电梯有限公司
MAZ25-4214,4.05,0.23,0,0,,2025/12/24 16:00,4.28,浙江分公司,杭州绿城房地产开发有限公司
MBY25-4129,4.01,0.28,0,0,,2025/12/17 16:00,4.29,浙江分公司,杭州冠泰机电设备有限公司
MAZ25-4051,4.32,0.74,0,0,,2025/12/12 16:00,5.06,浙江分公司,杭州众安电梯有限公司
MAZ25-4048,4.32,0.75,0,0,,2025/12/12 16:00,5.07,浙江分公司,杭州绿园房地产开发有限公司
MAZ25-4090,0.33,0.76,0,0,,2025/12/9 16:00,1.09,浙江分公司,浙江省建工集团有限责任公司
MAZ25-4088,4,0.07,0.01,0,,2025/12/12 16:00,4.08,浙江分公司,杭州众安电梯有限公司
MAZ25-4102,3.15,0.14,0.01,0,,2025/12/12 16:00,3.3,浙江分公司,浙江嘉菱电梯有限公司
MAZ25-3802,1.33,0.77,0.01,0,,2025/11/26 16:00,2.11,浙江分公司,杭州元奥电梯有限公司
MAZ25-3874,5.05,1.1,0.01,0.92,,2025/12/3 16:00,7.08,浙江分公司,杭州元奥电梯有限公司
MAZ25-3711,11.24,0.67,0.02,0,,2025/11/28 16:00,11.93,浙江分公司,绍兴市通立电梯销售有限公司
MBY25-3725,0.27,0.02,0.04,7.65,,2025/11/26 16:00,7.98,浙江分公司,殷隆置业（杭州）有限公司
MBY25-4280,0.27,0.03,0.36,0,,2025/12/25 16:00,0.66,浙江分公司,杭州友孚机电设备有限公司
MAZ25-3975,0.13,0.17,0.54,0,,2025/12/2 16:00,0.84,浙江分公司,杭州众安电梯有限公司
MBY25-3991,1.08,0.03,0.59,0.18,,2025/12/4 16:00,1.88,浙江分公司,杭州友孚机电设备有限公司
MBY25-3992,1.18,0.06,0.59,0.07,,2025/12/4 16:00,1.9,浙江分公司,杭州西映电气有限公司
MBY25-4098,0.21,0.09,0.64,0,,2025/12/9 16:00,0.94,浙江分公司,杭州滨景房地产开发有限公司
MAZ25-3905,4.22,0.01,0,0,,2025/12/2 16:00,4.23,深圳分公司,深圳市建筑工务署文体和水务工程管理
MAZ25-4072,4.26,0.01,0,0,,2025/12/12 16:00,4.27,深圳分公司,深圳市舒达电梯工程有限公司
MBY25-4002,4.19,0.02,0,0,,2025/12/9 16:00,4.21,深圳分公司,深圳天安云城投资发展有限公司
MAZ25-3816,5.11,0.02,0,11.18,,2025/12/11 16:00,16.31,深圳分公司,中海物业管理有限公司逸翠园管理处
MBY25-3720,2.25,0.02,0,8.96,,2025/11/28 16:00,11.23,深圳分公司,深圳市百年春投资发展有限公司
MBY25-4287,0.22,0.03,0,0,,2025/12/25 16:00,0.25,深圳分公司,深圳市业诚机电设备有限公司
MAZ25-4108,2.19,0.03,0,0,,2025/12/11 16:00,2.22,深圳分公司,深圳市俊峰实业发展有限公司
MBY25-3934,1.24,0.04,0,0,,2025/12/1 16:00,1.28,深圳分公司,深圳市舒达电梯工程有限公司
MBY25-4041,11.22,0.05,0,0,,2025/12/22 16:00,11.27,深圳分公司,深圳深汕特别合作区深投控投资发展有
MBY25-4040,5.23,0.05,0,0,,2025/12/12 16:00,5.28,深圳分公司,深圳深汕特别合作区深投控投资发展有
MBY25-4232,0.13,0.06,0,0,,2025/12/19 16:00,0.19,深圳分公司,创维集团有限公司深圳分公司
MBY25-3935,3.15,0.06,0,0.03,,2025/12/3 16:00,3.24,深圳分公司,深圳市前海建设投资控股集团有限公司
MBY25-4039,4.23,0.07,0,0,,2025/12/11 16:00,4.3,深圳分公司,广东省深圳市盐田区东埔海景花园B区业
MAZ25-4130,0.24,0.07,0,1.99,,2025/12/15 16:00,2.3,深圳分公司,深圳市舒达电梯工程有限公司
MBY25-4136,1.01,0.08,0,0,,2025/12/12 16:00,1.09,深圳分公司,深圳百仕达物业管理有限公司红树西岸
MAZ25-4008,0.99,0.09,0,0,,2025/12/4 16:00,1.08,深圳分公司,深圳市鸿荣源实业有限公司
MBY25-4203,3.1,0.09,0,0,,2025/12/22 16:00,3.19,深圳分公司,深圳碧桂园盛孚物业服务有限公司
MBY25-3922,1.12,0.1,0,0,,2025/11/28 16:00,1.22,深圳分公司,深圳市前海建设投资控股集团有限公司
MAZ25-4026,3.19,0.1,0,0,,2025/12/9 16:00,3.29,深圳分公司,深圳市岗宏集团有限公司
MBY25-4231,0.14,0.11,0,0,,2025/12/19 16:00,0.25,深圳分公司,华润（深圳）有限公司
MBY25-4205,0.99,0.11,0,0,,2025/12/18 16:00,1.1,深圳分公司,深圳市东部物业管理有限公司
MBY25-4206,3.98,0.11,0,0,,2025/12/23 16:00,4.09,深圳分公司,深圳市城建产业园发展有限公司
MBY25-3957,1.08,0.13,0,0,,2025/12/2 16:00,1.21,深圳分公司,深圳市万科物业服务有限公司黄埔雅苑
MBY25-3970,8.13,0.13,0,0.69,,2025/12/12 16:00,8.95,深圳分公司,深圳市宏发物业服务有限公司宏发领域
MAZ25-3978,4.14,0.15,0,0,,2025/12/8 16:00,4.29,深圳分公司,东莞市上菱电梯有限公司
MAZ25-3899,5.04,0.16,0,0.1,,2025/12/3 16:00,5.3,深圳分公司,深圳市亿民兴物业管理有限公司
MBY25-3902,4.06,0.21,0,0,,2025/12/2 16:00,4.27,深圳分公司,深圳市城龙房地产开发有限公司
MBY25-3900,4.07,0.22,0,0,,2025/12/2 16:00,4.29,深圳分公司,深圳市华通电梯实业有限公司
MAZ25-4217,0.01,0.23,0,0,,2025/12/18 16:00,0.24,深圳分公司,深圳市城建产业园发展有限公司
MAZ25-3996,1.04,0.25,0,0,,2025/12/4 16:00,1.29,深圳分公司,深圳华业物业管理有限公司
MAZ25-3882,1.99,0.27,0,1.7,,2025/11/28 16:00,3.96,深圳分公司,中华人民共和国深圳海关
MAZ25-3950,0.99,0.31,0,0,,2025/12/2 16:00,1.3,深圳分公司,深圳市榕江实业有限公司
MAZ25-3990,0.29,0.66,0,0,,2025/12/3 16:00,0.95,深圳分公司,深圳市舒达电梯工程有限公司
MBY25-4174,0.32,0.66,0,0,,2025/12/16 16:00,0.98,深圳分公司,招商南光电梯科技（深圳）有限公司
MBY25-4057,1.3,0.68,0,0,,2025/12/9 16:00,1.98,深圳分公司,深圳中电蓝海控股有限公司
MBY25-3850,8.24,0.72,0,0,,2025/12/3 16:00,8.96,深圳分公司,深圳市蓝湾房地产开发有限公司
MBY25-4124,0.23,0.74,0,0,,2025/12/11 16:00,0.97,深圳分公司,华润置地城市运营管理（深圳）有限公
MBY25-4013,2.22,0.76,0,0,,2025/12/8 16:00,2.98,深圳分公司,深圳市舒达电梯工程有限公司
MBY25-4125,4.21,0.76,0,0,,2025/12/17 16:00,4.97,深圳分公司,华润置地城市运营管理（深圳）有限公
MBY25-4173,4.19,0.79,0,0,,2025/12/22 16:00,4.98,深圳分公司,深圳百仕达物业管理有限公司
MBY25-4127,1.15,0.8,0,0,,2025/12/12 16:00,1.95,深圳分公司,广州申菱电梯工程有限公司
MAZ25-3969,2.14,0.83,0,0,,2025/12/4 16:00,2.97,深圳分公司,深圳市深福保物业发展有限公司
MBY25-3968,5.14,0.83,0,0,,2025/12/9 16:00,5.97,深圳分公司,深圳百仕达物业管理有限公司
MAZ25-4178,1.08,0.86,0,0,,2025/12/17 16:00,1.94,深圳分公司,深圳市农科物业管理有限公司
MAZ25-4177,1.08,0.86,0,0,,2025/12/17 16:00,1.94,深圳分公司,深圳市舒达电梯工程有限公司
MBY25-3921,2.33,0.9,0,0,,2025/12/2 16:00,3.23,深圳分公司,深圳市百年春投资发展有限公司
MBY25-4063,1.03,0.91,0,0,,2025/12/9 16:00,1.94,深圳分公司,深圳市深福保物业发展有限公司
MBY25-4106,2.28,0.91,0,0.07,,2025/12/12 16:00,3.26,深圳分公司,深圳富顺电子商务有限公司
MAZ25-3585,6.3,0.97,0,11.84,,2025/11/28 16:00,19.11,深圳分公司,深圳市金稻田物业管理有限公司
MAZ25-4200,0.26,1,0,0,,2025/12/18 16:00,1.26,深圳分公司,深圳华业物业管理有限公司
MAZ25-3880,1.21,1.05,0,1.7,,2025/11/28 16:00,3.96,深圳分公司,中华人民共和国深圳海关
MBY25-3776,9.18,1.77,0,0,,2025/12/2 16:00,10.95,深圳分公司,深圳市前海建设投资控股集团有限公司
MAZ25-3783,6.31,1.98,0,0,,2025/11/28 16:00,8.29,深圳分公司,深圳市岗宏集团有限公司
MAZ25-3909,3.14,2.84,0,0.13,,2025/12/4 16:00,6.11,深圳分公司,深圳市金稻田物业管理有限公司
MAZ25-3699,10.07,3.14,0,0,,2025/12/1 16:00,13.21,深圳分公司,深圳市高发物业管理服务有限公司
MAZ25-4216,0.98,0,0.01,0.26,,2025/12/19 16:00,1.25,深圳分公司,深圳市城建产业园发展有限公司
MAZ25-4192,3.07,0.12,0.01,1.1,,2025/12/23 16:00,4.3,深圳分公司,深圳市艺菱机电设备有限公司
MBY25-4015,3.23,0.74,0.01,0,,2025/12/9 16:00,3.98,深圳分公司,深圳市舒达电梯工程有限公司
MBY25-3805,8.11,0.2,0.66,2,,2025/12/3 16:00,10.97,深圳分公司,深圳市前海建设投资控股集团有限公司
MAZ25-3841,6.23,0.07,0.69,0,,2025/12/1 16:00,6.99,深圳分公司,深圳市吉达电梯工程有限公司
MBY25-3932,1.21,0.05,0.7,0,,2025/12/1 16:00,1.96,深圳分公司,深圳市赋景科贸有限公司
MBY25-3930,1.21,0.05,0.71,0,,2025/12/1 16:00,1.97,深圳分公司,深圳市舒达电梯工程有限公司
MBY25-4148,2.14,0.79,1.02,0,,2025/12/17 16:00,3.95,深圳分公司,华润（深圳）有限公司
MAZ25-4262,0.23,0.69,1.03,0,,2025/12/25 16:00,1.95,深圳分公司,中海物业管理有限公司逸翠园管理处
MBY25-4084,1.01,2.15,1.04,0,,2025/12/12 16:00,4.2,深圳分公司,深圳市鼎宏投资发展有限公司
MAZ25-4074,1.19,0.06,0,0,,2025/12/9 16:00,1.25,温州分公司,温州市鹿城区时代海景嘉园第三届业主
MAZ25-3938,2.32,0.65,0.01,0.14,,2025/12/3 16:00,3.12,温州分公司,温州市鹿城区时代海景嘉园第三届业主
MBY25-3859,2.27,0.03,0.02,2.71,,2025/11/28 16:00,5.03,湖北分公司,武汉市世界城置业有限公司
MAZ25-4163,4.19,0.1,0,0.98,,2025/12/22 16:00,5.27,湖南分公司,长沙市锦菱电梯有限公司
MAZ25-4083,3.31,0.88,0,0,,2025/12/12 16:00,4.19,湖南分公司,长沙市锦菱电梯有限公司
MBY25-4157,0.26,0.71,0.01,0,,2025/12/15 16:00,0.98,湖南分公司,湖南速通电梯有限公司
MAZ25-4120,5.24,0.03,0.03,0,,2025/12/22 16:00,5.3,湖南分公司,长沙市锦菱电梯有限公司
MAZ25-4028,8.02,0.06,0.15,0,,2025/12/16 16:00,8.23,湖南分公司,长沙市锦菱电梯有限公司
MAZ25-4022,9.23,0.05,0.49,0,,2025/12/17 16:00,9.77,湖南分公司,长沙市锦菱电梯有限公司
MBY25-3863,1.18,1.11,0.15,2.7,,2025/12/1 16:00,5.14,潍坊分公司,山东菱业电梯有限公司
MBY25-3869,5.12,1.87,0.15,0,,2025/12/3 16:00,7.14,潍坊分公司,山东菱业电梯有限公司
MAZ25-3925,0.33,0.77,0.01,0,,2025/11/28 16:00,1.11,珠海分公司,珠海市澳富机电工程有限公司
MBY25-4137,2,0.02,0,0,,2025/12/15 16:00,2.02,甘肃分公司,甘肃润通恒达机电设备有限公司
MBY25-4060,1.09,0.85,0,0,,2025/12/9 16:00,1.94,福建分公司,福州富源升机电设备有限公司
MAZ25-3746,2.08,0.14,0.01,22.72,,2025/12/19 16:00,24.95,福建分公司,福建西海岸建筑设计院有限公司
MAZ25-4087,1,0.17,0.01,0,,2025/12/9 16:00,1.18,福建分公司,福州国力机电工程有限公司
MAZ25-3825,6.25,0.04,0.63,0,,2025/11/28 16:00,6.92,福建分公司,福州国力机电工程有限公司
MBY25-3923,1.19,0.81,0,0.21,,2025/12/1 16:00,2.21,粤西分公司,广东建投置业发展有限公司
MBY25-3807,4.21,0.79,0.02,6.92,,2025/12/4 16:00,11.94,粤西分公司,广东华熹建设集团有限公司
MBY25-4204,3.13,0.04,1.03,0,,2025/12/23 16:00,4.2,粤西分公司,茂名富晟投资有限公司
MBY25-4012,1.19,-0.37,1.05,1.09,,2025/12/9 16:00,2.96,粤西分公司,中建三局集团华南有限公司
MBY25-4014,2.06,0.86,1.06,0,,2025/12/9 16:00,3.98,粤西分公司,茂名飞鹏投资有限公司
MAZ25-3945,6.13,1.06,-0.98,3.76,,2025/12/16 16:00,9.97,苏州分公司,苏州环企投资发展有限公司
MAZ25-3747,9.11,0.19,-1,0.77,,2025/12/1 16:00,9.07,苏州分公司,苏州环企投资发展有限公司
MAZ25-3911,4.06,0.01,0,0,,2025/12/2 16:00,4.07,苏州分公司,苏州工业园区福马经济发展有限公司
MBY25-3973,0.13,0.73,0,0,,2025/12/2 16:00,0.86,苏州分公司,苏州环企投资发展有限公司
MBY25-3919,1.33,0.89,0.01,0,,2025/12/1 16:00,2.23,菏泽分公司,单县利诚置地有限公司
MBY25-4023,0.2,0.08,0.48,0,,2025/12/4 16:00,0.76,贵州分公司,新华阁小区业主委员会
MBY25-3914,3.04,0.15,0.75,2.09,,2025/12/4 16:00,6.03,赣州分公司,江西广菱机电设备有限公司
MAZ25-3877,2.98,1.03,0.03,0,,2025/11/28 16:00,4.04,重庆分公司,重庆鸿纵机电设备有限公司
MBY25-3974,4.29,0.71,0.58,0.27,,2025/12/9 16:00,5.85,金华分公司,浙江杭开英惠特科技有限公司
MAZ25-4224,2.3,0.67,0.02,0,,2025/12/23 16:00,2.99,陕西分公司,陕西东和源科技有限公司
MBY25-3918,1.27,0.43,0.52,0,,2025/12/1 16:00,2.22,陕西分公司,陕西朗森机电设备有限公司
MAZ25-4018,3.28,0.89,0.85,10.81,,2025/12/25 16:00,15.83,陕西分公司,西安隆顺置业有限公司
,799.66,,,,,,1279.77,,
,#REF!,0.54 ,,,,,#REF!,,
